SN,Call Recording Reference,Spectrograms made,Used in analysis,Month,Year,location,state/province,country,latitude,longitude,Recordist,Source,Library Reference,,,
70,010214_Bharatpur_Hannu_PhyhumD401,1,1,February,2001,Bharatpur,Rajasthan,India,27.22,77.49,Hannu Janes,Personal,NA-Personal,HANNU,Personal,wav
71,020103_Bharatpur_Hannu_Phyhum2D202,3,1,February,2002,Bharatpur,Rajasthan,India,27.22,77.49,Hannu Janes,Personal,NA-Personal,HANNU,Personal,wav
72,020103_Bharatpur_Hannu_Phyhum3D202,3,1,January,2002,Bharatpur,Rajasthan,India,27.22,77.49,Hannu Janes,Personal,NA-Personal,HANNU,Personal,wav
73,020103_Bharatpur_Hannu_PhyhumD202,3,1,January,2002,Bharatpur,Rajasthan,India,27.22,77.49,Hannu Janes,Personal,NA-Personal,HANNU,Personal,wav
74,020305_Bharatpur_Schweizer_XC347754 - Hume's Leaf Warbler - P.humei humei,1,1,March,2002,Bharatpur,Rajasthan,India,27.22,77.49,Schweizer,XC,XC347754 ,HANNU,Personal,wav
75,021215_Germany_Hemprich_XC99472 - Hume's Leaf Warbler - Phylloscopus humei,1,0,December,2002,D Immenstaad FN,Baden-Württemberg,Germany,47.67,9.36,Matthias Hemprich,XC,XC99472,HANNU,Personal,wav
76,030615_XC749562 - Hume's Leaf Warbler - P.humei humei,1,1,June,2003,Hanasi Mountains,Xinjiang,China,48.46,87.18,Geoff Carey,XC,XC749562,HANNU,Personal,wav
77,040926_24MD-2.10B7 P.humei Bhopal Madhya Pradesh,2,1,September,2004,Bhopal,Madhya Pradesh,India,23.26,77.41,Pratap Singh,Personal,NA-Personal,HANNU,Personal,wav
78,041009_Datcut29 Phylloscopus humie IIFM Bhopal Madhya Pradesh,2,1,October,2004,Bhopal,Madhya Pradesh,India,23.26,77.41,pratap Singh,Personal,NA-Personal,Schweizer,XC,mp3
79,041022_102D19 P.humei IIFM Bhopal Madhya Pradseh,3,1,October,2004,Bhopal,Madhya Pradesh,India,23.26,77.41,Pratap Singh,Personal,NA-Personal,Geoff Carey,XC,mp3
80,041224_105D94 Phylloscopus humei Bori WLS Madhya Pradesh,2,0,December,2004,Bori WLS,Madhya Pradesh,India,22.41,78.06,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
81,041224_105D95-96 P.humei Bori WLS Madhya Pradesh,3,1,December,2004,Bori WLS,Madhya Pradesh,India,22.41,78.06,Pratap Singh,Personal,NA-Personal,pratap Singh,Personal,wav
82,041228_104D89 Phylloscopus humei Bori WLS Madhya Pradesh,2,0,December,2004,Bori WLS,Madhya Pradesh,India,22.41,78.06,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
83,041228_104D90 P.humei trochiloides Bori WLS Madhya Pradesh,2,1,December,2004,Bori WLS,Madhya Pradesh,India,22.41,78.06,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
84,050916_D129aCue 14 Sitta leucopsis near Manali Himachal P-humei background,1,1,September,2005,Manali,Himachal Pradesh,India,32.24,77.19,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
85,050916_D129aCue 23 Phylloscopus spp near Manali Himachal P-humei background,1,1,September,2005,Manali,Himachal Pradesh,India,32.24,77.19,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
86,051031_D130bCue 12 P.humei KGNP Bharatpur Rajasthan,2,2,October,2005,Bharatpur,Rajasthan,India,27.22,77.49,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
87,051031_D130bCue 14 Psittacula krameri KGNP Bharatpur Rajasthan P-humei background,4,0,October,2005,Bharatpur,Rajasthan,India,27.22,77.49,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
88,051231_D132Cue 64 Anthus spp U+ Oenanthe isabellinna Kolar/Kathotia road Bhopal Madhya Pradesh P-humei background,1,0,December,2005,Bhopal,Madhya Pradesh,India,23.26,77.41,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
89,060107_D133Cue 07 P.humei U Kathotia Area near Bhopal Madhya Pradesh,2,1,January,2006,Bhopal,Madhya Pradesh,India,23.26,77.41,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
90,060113_D134Cue 04 Cyornis tickelliae Sunderdev area  Khandwa Madhya Pradesh P-humei background,3,1,January,2006,Khandwa,Madhya Pradesh,India,21.83,76.35,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
91,060518_Kazakhastan_DavidFarrow_XC19732 - Hume's Leaf Warbler - P.humei,4,1,May,2006,Bolshoi Almatinskiy,Almaty province,Kazakhstan,43.24,76.89,David Farrow,XC,XC19732,David Farrow,XC,mp3
92,060924_D157Cue 31 U FRI Dehradun Uttarakhand P-humei background,2,0,Seotember,2006,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
93,061118_D161Cue 20 Phylloscopus xanthoschistos FRI Dehradun Uttarakhand P-humei background_,2,0,November,2006,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
94,070122_D169Cue 52 Phylloscopus U Ghana_Bharatpur Rajasthan,2,1,January,2007,Bharatpur,Rajasthan,India,27.22,77.49,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
95,070204_D170Cue 83 P.humei Badkal_Faridabad Haryana,1,1,February,2007,Faridabad,Haryana,India,28.41,77.32,Pratap Singh,Personal,NA-Personal,Patrick Aberg,XC,mp3
96,070414_D175Cue 29 P.humei FRI_Dehradun Uttarakhand,4,1,April,2007,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,Sander Bot,XC,mp3
97,080413_Sweden_Patrik Aberg_XC26650 - Hume's Leaf Warbler - P.humei_1,9,1,April,2008,"Tobisvik, Simrishamn, Skåne",Sweden,Sweden,55.56,14.35,Patrick Aberg,XC,XC26650,Pratap Singh,Personal,wav
98,080708_XC35293 - Phylloscopus humei Sander Bot-08/07/08-Kazakhstan ws,1,0,July,2008,"Below Bolshoye Almatinskoye Ozero, Ile Alatau State National Park",Almaty Province,Kazakhstan,43.03,76.99,Sander Bot,XC,XC35293,Pratap Singh,Personal,wav
99,080708_XC35295 - P.humei Sander Bot  Kazakhstan,1,1,July,2008,"Below Bolshoye Almatinskoye Ozero, Ile Alatau State National Park",Kazakhstan,Kazakhstan,43.03,79,Sander Bot,XC,XC35295,Sander Bot,XC,wav
100,081105_D191Cue 37 Phylloscopus spp Sariska Rajasthan,1,1,November,2008,Sariska,Rajasthan,India,27.31,76.44,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
101,081106_D191Cue 45 Phylloscopus spp Sariska Rajasthan,1,1,November,2008,Sariska,Rajasthan,India,27.31,76.44,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
102,081213_Netherlands_Bemmelen_XC29893 - Hume's Leaf Warbler - Phylloscopus humei,1,0,December,2008,"Sneekermeer, parkeerplaats recreatieterrein de Potten",Friesland,Netherlands,53.03,5.72,Rob van Bemmelen,XC,XC29893,Pratap Singh,Personal,wav
103,081214_Netherlands_SanderBot_XC29025 - Hume's Leaf Warbler - Phylloscopus humei,1,0,December,2008,"Sneekermeer, parkeerplaats recreatieterrein de Potten",Friesland,Netherlands,53.03,5.72,Sander Bot,XC,XC29025,Pratap Singh,Personal,wav
104,081214_Netherlands_SanderBot_XC29026 - Hume's Leaf Warbler - P.humei,2,1,December,2008,"Sneekermeer, parkeerplaats recreatieterrein de Potten, Friesland",Netherlands,Netherlands,53.03,5.72,Sander Bot,XC,XC29026,Pratap Singh,Personal,wav
105,081220_Netherlands_JosWelbedacht_XC26659 - Hume's Leaf Warbler - Phylloscopus humei humei,1,0,December,2008,"Sneekermeer, parkeerplaats recreatieterrein de Potten",Friesland,Netherlands,53.03,5.72,Jos Welbedacht,XC,XC26659,PC Rasmussen,Avocet,wav
106,090125_D195Cue 09 Nisaetus cirrhatus Rajaji NP Uttarakhand P-humei background,1,1,January,2009,Rajaji NP,Uttarakhand,India,30.02,78.15,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
107,090402_D195Cue 23 Heterophasia capistrata+UU Dhanaulti Uttarakhand P-humei background,1,0,April,2009,"Dhanaulti, Dehradun",Uttarakhand,Indiia,30.4,78.23,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
108,090402_D195Cue 33 P.humei+tytleri Dhanaulti Uttarakhand,4,2,April,2009,Dhanaulti,Uttarakhand,India,30.41,78.23,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
109,090403_D195Cue 45 Phylloscopus occipitalis Dhanaulti Uttarakhand P-humei background,2,2,April,2009,Dhanaulti,Uttarakhand,India,30.41,78.23,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
110,0905020_Kazakhistan_Beusecom_XC43637 - Hume's Leaf Warbler - Phylloscopus humei humei,1,0,May,2009,"Ili-Alatau national park, Almaty province",Almaty Province,Kazakhstan,43.07,76.99,Ruud van Beusekom,XC,XC43637,Pratap Singh,Personal,wav
111,090503_Kazakhistan_Beusecom_XC43635 - Hume's Leaf Warbler - Phylloscopus humei humei,1,0,May,2009,Jabagly,Turkistan,Kazakhstan,42.44,70.48,Ruud van Beusekom,XC,XC43635,Pratap Singh,Personal,wav
112,090503_Kazakhistan_Beusecom_XC43636 - Hume's Leaf Warbler - Phylloscopus humei humei,1,0,May,2009,Jabagly,Turkistan,Kazakhstan,42.44,70.48,Ruud van Beusekom,XC,XC43636,Ante Strand,XC,mp3
113,090510_Kazakhistan_Beusecom_XC43659 - Hume's Leaf Warbler - Phylloscopus humei humei,3,0,May,2009,Jabagly,Turkistan,Kazakhstan,42.44,70.48,Ruud van Beusekom,XC,XC43659,Pratap Singh,Personal,wav
114,090510_XC43638 - Phylloscopus humei humei Ruud van Beusekom-10/05/09 Kazakhstan ,1,0,May,2009,Jabagly,Turkistan,Kazakhstan,42.44,70.48,Ruud van Beusekom,XC,XC43638 ,Arend Wassinck,XC,mp3
115,"091221_AV2817_Phylloscopus+humei_IN_1_2-16_C Sattal, Uttarakhand PCRasmussen",1,1,PC Rasmussen,2009,"Sattal, Nainital",Uttarakhand,India,29.35,79.53,Avocet,Avocet,AV2817,Patrick Franke ,XC,mp3
116,100119_22 Treron phoenicopterus Rajaji_Dehradun Uttarakhand P-humei background,1,0,January,2010,"Rajaji NP, Dehradun",Uttarakhand,India,30.09,77.98,Pratap Singh,Personal,NA-Personal,HANNU,Personal,wav
117,100215_07 P.humei U SOOR SAROVAR AGRA UP.table.4.selections.txt,5,2,February,2010,Agra,Uttar Pradesh,India,27.18,78.01,Pratap Singh,Personal,NA-Personal,Paul Holt,Personal,wav
118,100215_10 U P.humei SOOR SAROVAR AGRA UP,3,2,February,2010,Agra,Uttar Pradesh,India,27.18,78.01,Pratap Singh,Personal,NA-Personal,Paul Holt,Personal,wav
119,100301_Italy_FSottile_XC277887 - Hume's Leaf Warbler - Phylloscopus humei,1,0,March,2010,"Palazzolo sull'Oglio, Provincia di Brescia, Lombardia",Brescia,Italy,45.59,9.88,Francesco Sottile,XC,XC277887,Paul Holt,Personal,wav
120,100306_02 Pomatorhinus schisticeps FRI DEHRADUN UTTARAKHAND P-humei background,3,1,March,2010,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,Mathew?,NSA,wav
121,101205_06 Chrysocolaptes lucidus drumming Dehradun Uttarakhand P-humei background,2,0,December,2010,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,Mathew?,NSA,wav
122,101218_10 Phylloscopus humie U Sariska Rajasthan,1,1,December,2010,Sariska,Rajasthan,India,27.31,76.44,Pratap Singh,Personal,NA-Personal,Mathew?,NSA,wav
