sno,Source.Name,P1,P2,P3,P4,C1,C2,C3,C4,DeltaTimeS12,Year,YearF,Year5,Deacades,Twos,Threes,4 Years
79,051031_D130bCue 12 Phylloscopus humei KGNP Bharatpur Rajasthan_04+05_10.Table.5.selections_4splits.txt,5167.969,4995.703,3789.844,4651.172,5254.102,4995.703,3789.844,4823.438,0.0587,2005,2005,F5,D3,Tw12,T08,IV06
80,060107_D133Cue 07 Phylloscopus humei U Kathotia Area near Bhopal Madhya Pradesh_06+07_6.Table.2.selections_4splits.txt,5426.367,5254.102,3617.578,5426.367,5426.367,5254.102,3875.977,5340.234,0.0523,2006,2006,F6,D3,Tw13,T09,IV07
81,060113_D134Cue 04 Cyornis tickelliae Sunderdev area  Khandwa Madhya Pradesh P-humei background_06+07_4.Table.2.selections_4splits.txt,4478.906,3445.312,3789.844,5512.5,4478.906,3617.578,3703.711,4651.172,0.052,2006,2006,F6,D3,Tw13,T09,IV07
82,060500x_Kazakhastan_DavidFarrow_XC19732 - Hume's Leaf Warbler - Phylloscopus humei_06+07_7.Table.2.selections_4splits.txt,5254.102,4995.703,3962.109,4565.039,5167.969,5081.836,3875.977,4651.172,0.0515,2006,2006,F6,D3,Tw13,T09,IV07
83,070122_D169Cue 52 Phylloscopus U Ghana_Bharatpur Rajasthan_06+07_11.Table.2.selections_4splits.txt,4995.703,4565.039,3617.578,5943.164,4995.703,4565.039,3617.578,5426.367,0.061,2007,2007,F6,D3,Tw13,T09,IV07
84,070204_D170Cue 83 Phylloscopus humei Badkal_Faridabad Haryana_06+07_10.Table.2.selections_4splits.txt,4995.703,4909.57,4048.242,5857.031,5081.836,4823.438,3875.977,5081.836,0.0635,2007,2007,F6,D3,Tw13,T09,IV07
85,070414_D175Cue 29 Phylloscopus humei FRI_Dehradun Uttarakhand_06+07_9.Table.2.selections_4splits.txt,5254.102,5081.836,3789.844,6201.562,5254.102,5167.969,3703.711,5426.367,0.0615,2007,2007,F6,D3,Tw13,T09,IV07
86,080400x_Sweden_Patrik Aberg_XC26650 - Hume's Leaf Warbler - Phylloscopus humei_1.Table.2.selections_4splits.txt,5081.836,4565.039,4134.375,4478.906,4737.305,4651.172,4134.375,4478.906,0.0649,2008,2008,F6,D3,Tw14,T09,IV07
87,080708_XC35295 - Phylloscopus humei Sander Bot-08_07_08 Kazakhstan.Table.2.selections_4splits.txt,4909.57,4823.438,3617.578,5598.633,4909.57,4823.438,3789.844,4909.57,0.0602,2008,2008,F6,D3,Tw14,T09,IV07
88,081105_D191Cue 37 Phylloscopus spp Sariska Rajasthan_9.Table.2.selections_4splits.txt,4565.039,4565.039,3531.445,4823.438,4565.039,4565.039,3531.445,4823.438,0.0633,2008,2008,F6,D3,Tw14,T09,IV07
89,081106_D191Cue 45 Phylloscopus spp Sariska Rajasthan_10.Table.2.selections_4splits.txt,5167.969,4909.57,3703.711,6287.695,5254.102,4909.57,3789.844,5943.164,0.0578,2008,2008,F6,D3,Tw14,T09,IV07
90,081200x_Netherlands_SanderBot_XC29026 - Hume's Leaf Warbler - Phylloscopus humei_8.Table.2.selections_4splits.txt,5254.102,4306.641,4048.242,4909.57,5081.836,4478.906,3875.977,4995.703,0.0618,2008,2008,F6,D3,Tw14,T09,IV07
